rank,flare_classification,date,flare_region,start_time,maximum_time,end_time,movie
1,X28+,2003/11/04,0486,19:29,19:53,20:06, MovieView archive
2,X20+,2001/04/02,9393,21:32,21:51,22:03, MovieView archive
3,X17.2+,2003/10/28,0486,09:51,11:10,11:24, MovieView archive
4,X17+,2005/09/07,0808,17:17,17:40,18:03, MovieView archive
5,X14.4,2001/04/15,9415,13:19,13:50,13:55, MovieView archive
6,X10,2003/10/29,0486,20:37,20:49,21:01, MovieView archive
7,X9.4,1997/11/06,8100,11:49,11:55,12:01, MovieView archive
8,X9.3,2017/09/06,2673,11:53,12:02,12:10, MovieView archive
9,X9,2006/12/05,0930,10:18,10:35,10:45, MovieView archive
10,X8.3,2003/11/02,0486,17:03,17:25,17:39, MovieView archive
11,X8.2,2017/09/10,2673,15:35,16:06,16:31, MovieView archive
12,X7.1,2005/01/20,0720,06:36,07:01,07:26, MovieView archive
13,X6.9,2011/08/09,1263,07:48,08:05,08:08, MovieView archive
14,X6.5,2006/12/06,0930,18:29,18:47,19:00, MovieView archive
15,X6.2,2005/09/09,0808,19:13,20:04,20:36, MovieView archive
16,X6.2,2001/12/13,9733,14:20,14:30,14:35, MovieView archive
17,X5.7,2000/07/14,9077,10:03,10:24,10:43, MovieView archive
18,X5.6,2001/04/06,9415,19:10,19:21,19:31, MovieView archive
19,X5.4,2012/03/07,1429,00:02,00:24,00:40, MovieView archive
20,X5.4,2005/09/08,0808,20:52,21:06,21:17, MovieView archive
21,X5.4,2003/10/23,0486,08:19,08:35,08:49, MovieView archive
22,X5.3,2001/08/25,9591,16:23,16:45,17:04, MovieView archive
23,X4.9,2014/02/25,1990,00:39,00:49,01:03, MovieView archive
24,X4.9,1998/08/18,8307,22:10,22:19,22:28,View archive
25,X4.8,2002/07/23,0039,00:18,00:35,00:47, MovieView archive
26,X4,2000/11/26,9236,16:34,16:48,16:56, MovieView archive
27,X3.9,2003/11/03,0488,09:43,09:55,10:19, MovieView archive
28,X3.9,1998/08/19,8307,21:35,21:45,21:50,View archive
29,X3.8,2005/01/17,0720,06:59,09:52,10:07, MovieView archive
30,X3.7,1998/11/22,8384,06:30,06:42,06:49, MovieView archive
31,X3.6,2005/09/09,0808,09:42,09:59,10:08, MovieView archive
32,X3.6,2004/07/16,0649,13:49,13:55,14:01, MovieView archive
33,X3.6,2003/05/28,0365,00:17,00:27,00:39, MovieView archive
34,X3.4,2006/12/13,0930,02:14,02:40,02:57, MovieView archive
35,X3.4,2001/12/28,9767,20:02,20:45,21:32, MovieView archive
36,X3.3,2013/11/05,1890,22:07,22:12,22:15, MovieView archive
37,X3.3,2002/07/20,0039,21:04,21:30,21:54, MovieView archive
38,X3.3,1998/11/28,8395,04:54,05:52,06:13, MovieView archive
39,X3.2,2013/05/14,1748,00:00,01:11,01:20, MovieView archive
40,X3.1,2014/10/24,2192,21:07,21:41,22:13, MovieView archive
41,X3.1,2002/08/24,0069,00:49,01:12,01:31, MovieView archive
42,X3,2002/07/15,0030,19:59,20:08,20:14, MovieView archive
43,X2.8,2013/05/13,1748,15:48,16:05,16:16, MovieView archive
44,X2.8,2001/12/11,9733,07:58,08:08,08:14, MovieView archive
45,X2.8,1998/08/18,8307,08:14,08:24,08:32,View archive
46,X2.7,2015/05/05,2339,22:05,22:11,22:15, MovieView archive
47,X2.7,2003/11/03,0488,01:09,01:30,01:45, MovieView archive
48,X2.7,1998/05/06,8210,07:58,08:09,08:20, MovieView archive
49,X2.6,2005/01/15,0720,22:25,23:02,23:31, MovieView archive
50,X2.6,2001/09/24,9632,09:32,10:38,11:09, MovieView archive
